#Wave		#Intensity
2102.180664	11303.893555
2101.273438	10966.503906
2100.365234	11182.953125
2099.457031	11215.849609
2098.548828	11127.342773
2097.640625	11375.996094
2096.732422	11470.853516
2095.823242	11614.199219
2094.914063	11501.422852
2094.004883	11771.367188
2093.095703	11580.464844
2092.186523	11653.635742
2091.277344	11667.523438
2090.367188	12018.006836
2089.457031	11862.203125
2088.546875	12002.553711
2087.636719	12102.479492
2086.725586	11989.799805
2085.815430	12234.958008
2084.904297	12211.054688
2083.993164	12442.626953
2083.082031	12464.397461
2082.170898	12459.277344
2081.258789	12604.662109
2080.347656	12443.667969
2079.435547	12763.621094
2078.523438	12704.723633
2077.610352	13115.805664
2076.698242	12678.285156
2075.786133	12949.621094
2074.873047	13019.558594
2073.959961	13237.052734
2073.046875	13231.785156
2072.132813	13357.953125
2071.219727	13446.525391
2070.305664	13459.987305
2069.391602	13454.677734
2068.477539	13725.433594
2067.563477	13800.463867
2066.649414	13824.559570
2065.734375	14014.721680
2064.819336	14194.096680
2063.904297	14081.541992
2062.989258	13971.707031
2062.074219	14207.190430
2061.158203	14415.821289
2060.243164	14808.980469
2059.327148	14535.911133
2058.411133	14463.534180
2057.495117	14856.451172
2056.578125	15088.807617
2055.662109	15256.923828
2054.745117	15237.906250
2053.828125	15291.036133
2052.911133	15175.849609
2051.993164	15570.833008
2051.076172	15388.877930
2050.158203	15826.379883
2049.240234	15551.020508
2048.322266	15820.188477
2047.404297	15875.793945
2046.485352	16238.159180
2045.567383	16138.964844
2044.648438	16330.470703
2043.729492	16436.585938
2042.810547	16590.638672
2041.890625	16781.941406
2040.971680	16839.941406
2040.051758	16692.787109
2039.131836	16987.832031
2038.211914	17051.082031
2037.291992	17114.304688
2036.371094	17406.429688
2035.451172	17642.548828
2034.530273	17937.113281
2033.609375	17922.958984
2032.688477	18092.339844
2031.766602	18197.828125
2030.845703	18337.839844
2029.923828	18525.644531
2029.001953	18777.160156
2028.080078	18837.255859
2027.157227	19255.984375
2026.235352	19034.402344
2025.312500	19094.408203
2024.389648	19263.251953
2023.466797	19315.224609
2022.543945	19778.564453
2021.621094	19976.361328
2020.697266	20025.507813
2019.773438	20459.253906
2018.849609	20195.341797
2017.925781	20551.990234
2017.001953	20781.248047
2016.077148	20962.707031
2015.152344	20656.500000
2014.228516	21513.517578
2013.302734	21596.712891
2012.377930	22048.001953
2011.453125	22006.605469
2010.527344	22055.236328
2009.601563	22119.726563
2008.675781	22546.738281
2007.750000	22997.392578
2006.824219	23199.210938
2005.897461	22961.917969
2004.970703	23269.433594
2004.043945	23492.226563
2003.117188	23910.529297
2002.190430	23889.978516
2001.262695	24035.892578
2000.335938	24401.003906
1999.408203	24882.183594
1998.480469	24924.828125
1997.551758	24933.132813
1996.624023	25057.574219
1995.695313	25435.316406
1994.766602	25599.187500
1993.837891	25831.582031
1992.909180	26156.195313
1991.980469	26158.966797
1991.050781	26768.125000
1990.121094	26955.289063
1989.191406	27021.148438
1988.261719	27250.345703
1987.332031	27400.417969
1986.401367	27632.082031
1985.471680	28079.589844
1984.541016	28616.435547
1983.610352	28258.076172
1982.679688	28323.578125
1981.748047	28944.257813
1980.817383	29769.892578
1979.885742	29435.253906
1978.954102	29629.324219
1978.021484	30146.712891
1977.089844	29725.447266
1976.158203	30129.595703
1975.225586	30688.619141
1974.292969	31231.656250
1973.360352	31283.296875
1972.426758	31836.505859
1971.494141	31656.949219
1970.560547	31892.226563
1969.626953	32298.007813
1968.693359	32456.966797
1967.759766	32526.660156
1966.825195	33199.617188
1965.891602	33287.492188
1964.957031	33813.203125
1964.022461	33955.968750
1963.087891	34190.410156
1962.152344	34351.382813
1961.217773	34651.148438
1960.282227	35123.675781
1959.346680	35245.082031
1958.411133	35455.464844
1957.475586	35621.257813
1956.539063	36336.628906
1955.602539	36120.121094
1954.666016	36487.136719
1953.729492	36767.683594
1952.792969	37189.343750
1951.856445	37202.929688
1950.918945	37485.781250
1949.981445	37927.953125
1949.043945	38268.035156
1948.106445	38242.199219
1947.167969	38203.312500
1946.230469	38660.656250
1945.291992	38775.757813
1944.353516	39718.386719
1943.415039	39321.644531
1942.475586	40070.675781
1941.537109	39898.398438
1940.597656	40271.378906
1939.658203	39994.804688
1938.718750	40936.062500
1937.779297	40748.101563
1936.838867	40953.792969
1935.899414	41117.707031
1934.958984	41503.023438
1934.018555	42172.128906
1933.077148	41856.476563
1932.136719	42452.332031
1931.195313	42641.812500
1930.253906	42922.320313
1929.312500	42788.925781
1928.371094	42973.019531
1927.429688	43170.042969
1926.487305	43673.886719
1925.544922	43550.847656
1924.602539	43979.019531
1923.660156	44126.289063
1922.717773	44481.406250
1921.774414	44560.960938
1920.832031	44627.492188
1919.888672	44670.621094
1918.944336	45321.371094
1918.000977	45642.140625
1917.057617	45882.308594
1916.113281	45844.691406
1915.168945	45846.007813
1914.224609	46189.757813
1913.280273	46058.722656
1912.334961	46537.132813
1911.390625	46942.757813
1910.445313	47275.636719
1909.500000	46722.046875
1908.553711	47674.113281
1907.608398	47462.613281
1906.662109	47515.390625
1905.716797	47757.179688
1904.770508	48353.574219
1903.823242	48514.855469
1902.876953	48111.871094
1901.930664	48604.332031
1900.983398	49453.609375
1900.036133	48851.507813
1899.088867	48867.699219
1898.140625	49000.230469
1897.193359	49298.140625
1896.245117	49321.980469
1895.296875	48826.433594
1894.348633	49811.390625
1893.400391	49168.710938
1892.451172	49732.269531
1891.502930	49748.242188
1890.553711	50396.644531
1889.604492	50433.117188
1888.654297	51014.035156
1887.705078	50923.953125
